"OrganizationCode","CategoryCode","AgeCategoryCode","RankingCategoryCode","TYPE","W","F","SF","QF","R16","R32","R64","R128","R256","Qual","QER","QR4","QR3","QR2","QR1","G4L","G3L","G2L","GL"
"WTT","SEN","SEN","MD","COC","500","350","175","90","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","Con","100","70","35","20","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","IES","75","55","25","15","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","IMS","100","70","35","20","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","IWC","2000","1400","900","580","380","100","10","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","MSGB","30","20","10","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","OG","2000","1400","900","230","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","REG","75","55","25","15","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","UCC","20","15","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","WCD","400","280","180","45","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","WGS","2000","1400","900","580","150","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","WSC","600","420","270","70","5","0","0","0","0","20","0","0","0","0","3","0","0","0","0"
"WTT","SEN","SEN","MD","WSC_U19","30","20","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","WTC","2000","1400","900","580","380","100","10","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","WTF","125","90","60","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MD","WYC_U19","50","35","22","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MDI","COC","500","350","175","90","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MDI","Con","100","70","35","20","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WTT","SEN","SEN","MDI","IES","75","55","25","15","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
